,href,href_2,html_image,brand,color_label,Sugars,SPF_Sugar_Pct,Protein,SPF_Protein_Pct,Total Fat,SPF_TotalFat_Pct
0,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-greek-nonfat-plain-yogurt-32-oz-b07myd18hm>365 by Whole Foods Market Organic Greek Non-Fat - Plain Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-greek-nonfat-plain-yogurt-32-oz-b07myd18hm>Organic Greek Non-Fat - Plain Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/624b76ed27ac6613630ffb27_dld-0099482476472-glamor-front-2022-03-04t19-51-10-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-1jkv-037362-1649112810661.jpg' width='100%'>,365 by Whole Foods Market,cyan,5.0,23.809523809523807,16.0,76.19047619047619,0.0,0.0
1,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-greek-yogurt-plain-32-oz-b07myg86vs>365 by Whole Foods Market Organic Greek Yogurt Plain</a>,<a href=https://www.wholefoodsmarket.com/product/365-by-whole-foods-market-organic-greek-yogurt-plain-32-oz-b07myg86vs>Organic Greek Yogurt Plain</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/624b76ec27ac6613630ffb24_dld-0099482476465-glamor-front-2022-03-04t21-33-13-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-3c2r-322064-1649112810565.jpg' width='100%'>,365 by Whole Foods Market,cyan,5.0,18.51851851851852,16.0,59.25925925925925,6.0,22.22222222222222
2,<a href=https://www.wholefoodsmarket.com/product/wallaby-yogurt-greek-plain-organic-32-oz-b00k1xkuym>Wallaby Yogurt Greek Plain Organic</a>,<a href=https://www.wholefoodsmarket.com/product/wallaby-yogurt-greek-plain-organic-32-oz-b00k1xkuym>Yogurt Greek Plain Organic</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/624b76d027ac6613630ffa7a_dld-0795709085112-glamor-front-2022-03-04t22-29-03-iphone-x-quality-90-1-29-0-user-5984ad42a967f880524de2c4-0n2s-298427-1649112783772.jpg' width='100%'>,Wallaby,cyan,5.0,17.857142857142858,15.0,53.57142857142857,8.0,28.57142857142857
3,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-plain-grassfed-greek-yogurt-15-lb-b0785wcqbf>Stonyfield Organic Organic Plain Grassfed Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-plain-grassfed-greek-yogurt-15-lb-b0785wcqbf>Organic Plain Grassfed Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/62c86164b097cf53365333fa_0052159703356-glamor-front-2022-04-06t15-56-07-iphone-7-quality-90-1-29-0-user-5d7652c1db2c4b51d4c666ca-ig6j-725689.jpg' width='100%'>,Stonyfield Organic,cyan,5.0,18.51851851851852,16.0,59.25925925925925,6.0,22.22222222222222
4,"<a href=https://www.wholefoodsmarket.com/product/wallaby-organic-whole-milk-greek-yogurt-blended-vanilla-bean-32-oz-b00lmaxcoi>Wallaby Organic Whole Milk Greek Yogurt, Blended Vanilla Bean</a>","<a href=https://www.wholefoodsmarket.com/product/wallaby-organic-whole-milk-greek-yogurt-blended-vanilla-bean-32-oz-b00lmaxcoi>Organic Whole Milk Greek Yogurt, Blended Vanilla Bean</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f4ea54ca616593888c8f85f_795709085129-front.jpg' width='100%'>,Wallaby,magenta,21.0,53.84615384615385,12.0,30.76923076923077,6.0,15.384615384615385
5,<a href=https://www.wholefoodsmarket.com/product/chobani-greek-yogurt-vanilla-blended-32-oz-b00cj8mjg4>Chobani Greek Yogurt Vanilla Blended</a>,<a href=https://www.wholefoodsmarket.com/product/chobani-greek-yogurt-vanilla-blended-32-oz-b00cj8mjg4>Greek Yogurt Vanilla Blended</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5f933b5d44249adcd687c4e4_894700010144-front.jpg' width='100%'>,Chobani,magenta,14.0,50.0,14.0,50.0,0.0,0.0
6,"<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-plain-24-oz-b00lmc4xvw>siggi's siggi’s® Icelandic Skyr Nonfat Yogurt, Plain</a>","<a href=https://www.wholefoodsmarket.com/product/siggis-siggis-icelandic-skyr-nonfat-yogurt-plain-24-oz-b00lmc4xvw>siggi’s® Icelandic Skyr Nonfat Yogurt, Plain</a>",<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/6320cd400d13697094847a86_2022-09-13_18-34-46_Front.main.jpg' width='100%'>,siggi's,cyan,5.0,20.833333333333336,19.0,79.16666666666666,0.0,0.0
7,<a href=https://www.wholefoodsmarket.com/product/fage-total-0-plain-greek-yogurt-53-oz-b000vtwd64>FAGE Total 0% Plain Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/fage-total-0-plain-greek-yogurt-53-oz-b000vtwd64>Total 0% Plain Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/63e5a884425a7866289abe1a_0689544080008-glamor-front-2023-01-27t14-26-58-iphone-7-quality-90-1-33-0-user-61f81fa9ba341c6ee137962b-57xv-380725.jpg' width='100%'>,FAGE,cyan,5.0,23.809523809523807,16.0,76.19047619047619,0.0,0.0
8,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-plain-whole-milk-yogurt-2-lb-b00108epcu>Stonyfield Organic Organic Plain Whole Milk Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/stonyfield-organic-organic-plain-whole-milk-yogurt-2-lb-b00108epcu>Organic Plain Whole Milk Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5ebc666d758123bee6afaa16_00052159000011-glamor-frontpackageglamor-2020-02-05t18-45-08-pixel-3a-quality-90-1-20-1-user-5d7652c1db2c4b51d4c666ca-99id-420706.jpg' width='100%'>,Stonyfield Organic,magenta,8.0,38.095238095238095,6.0,28.57142857142857,7.0,33.33333333333333
9,<a href=https://www.wholefoodsmarket.com/product/chobani-plain-greek-yogurt-32-oz-b008u5ostq>Chobani Plain Greek Yogurt</a>,<a href=https://www.wholefoodsmarket.com/product/chobani-plain-greek-yogurt-32-oz-b008u5ostq>Plain Greek Yogurt</a>,<img src='https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/613f89c3e11bfde36015f38f_dld-0894700010137-glamor-front-2021-08-18t19-49-29-iphone-x-quality-90-1-25-4-user-5984ad42a967f880524de2c4-snlo-497447-1631553986281.jpg' width='100%'>,Chobani,cyan,6.0,27.27272727272727,16.0,72.72727272727273,0.0,0.0
